instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,registered
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,4
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,1
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,19
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,46
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,54
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,73
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,64
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,55
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,55
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,67
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,58
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,43
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,29
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,17
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,20
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,63
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,153
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,81
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,33
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,41
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,48
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,53
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,66
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,58
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,67
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,146
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,148
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,102
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,49
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,49
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,11
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,92
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,177
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,98
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,37
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,50
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,66
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,79
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,54
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,48
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,68
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,202
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,179
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,110
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,53
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,34
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,9
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,87
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,192
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,109
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,53
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,34
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,74
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,65
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,52
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,55
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,85
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,186
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,166
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,127
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,82
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,40
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,41
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,18
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,216
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,116
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,42
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,57
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,78
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,55
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,59
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,54
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,74
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,163
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,158
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,109
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,66
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,51
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,19
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,13
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,5
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,26
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,76
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,190
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,125
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,47
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,48
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,50
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,64
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,43
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,63
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,82
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,178
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,116
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,92
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,50
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,34
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,14
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,24
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,15
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,13
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,8
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,56
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,60
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,90
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,95
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,83
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,69
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,68
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,64
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,52
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,26
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,35
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,33
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,24
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,5
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,47
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,79
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,69
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,64
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,77
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,79
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,59
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,44
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,40
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,19
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,10
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,3
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,0
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,2
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,75
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,184
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,92
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,28
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,47
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,50
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,43
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,70
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,174
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,154
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,92
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,73
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,37
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,22
233,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
234,2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,10
235,2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
236,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3
237,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
238,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
239,2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,97
240,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,214
241,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,127
242,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,51
243,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,31
244,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,55
245,2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,46
246,2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,60
247,2011-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,45
248,2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,72
249,2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,130
250,2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,94
251,2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
252,2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32
253,2011-01-11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20
254,2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,28
255,2011-01-11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,18
256,2011-01-12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7
257,2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
258,2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
259,2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
260,2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
261,2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
262,2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,125
263,2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,78
264,2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
265,2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,32
266,2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,52
267,2011-01-12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49
268,2011-01-12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
269,2011-01-12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,48
270,2011-01-12,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,63
271,2011-01-12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
272,2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,135
273,2011-01-12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,82
274,2011-01-12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,54
275,2011-01-12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
276,2011-01-12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,32
277,2011-01-12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,19
278,2011-01-13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,6
279,2011-01-13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
280,2011-01-13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
281,2011-01-13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
282,2011-01-13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
283,2011-01-13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
284,2011-01-13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
285,2011-01-13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
286,2011-01-13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,197
287,2011-01-13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,137
288,2011-01-13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,36
289,2011-01-13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,33
290,2011-01-13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,49
291,2011-01-13,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,81
292,2011-01-13,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,39
293,2011-01-13,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,55
294,2011-01-13,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,76
295,2011-01-13,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,158
296,2011-01-13,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,141
297,2011-01-13,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,98
298,2011-01-13,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
299,2011-01-13,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
300,2011-01-13,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
301,2011-01-13,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,14
302,2011-01-14,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14
303,2011-01-14,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
304,2011-01-14,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
305,2011-01-14,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
306,2011-01-14,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8
307,2011-01-14,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17
308,2011-01-14,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
309,2011-01-14,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,156
310,2011-01-14,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117
